1620468221.605		52762	32798	74	19490	400	52118	18	0	71	0
1620468222.005		42736	23950	99	18372	315	42096	18	0	71	0
1620468222.402		47527	26549	96	20487	395	46838	18	0	71	0
1620468222.796		51336	22485	83	28305	463	50587	18	0	71	0
1620468223.186		49626	22853	98	26316	359	48977	18	0	71	0
1620468223.574		39201	17998	33	20944	226	38839	18	0	71	0
1620468223.959		99854	29055	45	70579	175	99532	18	0	71	0
1620468224.341		46691	27264	87	18858	482	45913	18	0	71	0
1620468224.721		41339	20625	30	20551	133	41091	18	0	71	0
1620468225.096		36243	15462	30	20616	135	35979	18	0	71	0
1620468225.471		41347	20238	109	20624	376	40666	18	0	71	0
1620468225.843		47119	25759	101	20760	499	46309	18	0	71	0
1620468226.211		46155	27639	79	18057	380	45476	18	0	71	0
1620468226.578		68972	52669	80	15854	369	68311	18	0	71	0
1620468226.942		72939	19501	38	53005	395	72395	18	0	71	0
1620468227.303		45149	25664	104	18974	407	44430	18	0	71	0
1620468227.662		58172	26876	79	30836	381	57519	18	0	71	0
1620468228.019		38457	19012	86	18988	371	37821	18	0	71	0
1620468228.374		39854	18589	79	20557	629	38956	18	0	71	0
1620468228.726		38686	16142	85	22081	378	38029	18	0	71	0
1620468229.077		233851	22364	77	210928	482	233089	18	0	71	0
1620468229.425		45092	17546	46	27306	194	44748	18	0	71	0
1620468229.771		62360	43605	108	18236	411	61636	18	0	71	0
1620468230.114		43562	23973	73	19053	463	42826	18	0	71	0
1620468230.457		55599	39109	64	16051	375	55048	18	0	71	0
1620468230.797		31048	14836	65	15794	353	30413	18	0	71	0
1620468231.135		38124	17686	74	19959	405	37449	18	0	71	0
1620468231.471		46106	27150	39	18458	459	45509	18	0	71	0
1620468231.806		55518	20458	95	34584	381	54831	18	0	71	0
1620468232.138		39042	19213	82	19378	369	38398	18	0	71	0
1620468232.469		38318	18048	31	20031	208	37991	18	0	71	0
1620468232.797		64789	19464	108	44726	491	63965	18	0	71	0
1620468233.123		39369	18514	89	20383	383	38722	18	0	71	0
1620468233.450		37499	16926	29	20375	169	37216	18	0	71	0
1620468233.773		57477	24280	102	32720	375	56808	18	0	71	0
1620468234.095		45810	17043	88	28271	408	45110	18	0	71	0
1620468234.415		54794	32126	35	22488	145	54483	18	0	71	0
1620468234.734		39233	18158	80	20552	443	38542	18	0	71	0
1620468235.051		38086	16396	71	21206	413	37405	18	0	71	0
1620468235.366		46872	22901	77	23448	446	46150	18	0	71	0
1620468235.680		53192	24815	25	28197	155	52947	18	0	71	0
1620468235.993		34611	18511	29	15932	139	34360	18	0	71	0
1620468236.304		54853	24046	39	30367	401	54302	18	0	71	0
1620468236.613		90431	33538	94	56425	374	89759	18	0	71	0
1620468236.921		57799	27084	80	30229	406	57179	18	0	71	0
1620468237.227		42314	21604	82	20274	354	41682	18	0	71	0
1620468237.532		40705	21042	81	19189	393	40026	18	0	71	0
1620468237.836		36383	15498	54	20629	202	35960	18	0	71	0
1620468238.137		40742	20836	82	19429	395	40073	18	0	71	0
1620468238.439		46305	23839	89	21989	388	45689	18	0	71	0
1620468238.738		58243	40144	89	17521	489	57445	18	0	71	0
1620468239.036		43660	22929	80	20283	368	43016	18	0	71	0
1620468239.333		212871	187660	82	24731	398	212187	18	0	71	0
1620468239.628		39777	18641	108	20556	472	38995	18	0	71	0
1620468239.923		68508	41791	81	26243	393	67842	18	0	71	0
1620468240.216		54354	24722	134	29008	490	53523	18	0	71	0
1620468240.507		40382	19623	79	20315	365	39744	18	0	71	0
1620468240.798		55954	31772	102	23533	547	55109	18	0	71	0
1620468241.087		56171	31028	86	24581	476	55411	18	0	71	0
1620468241.376		39973	16687	41	23047	198	39634	18	0	71	0
1620468241.662		35065	19249	78	15388	350	34433	18	0	71	0
1620468241.948		44822	24759	94	19562	407	44124	18	0	71	0
1620468242.233		39679	18794	90	20419	376	39010	18	0	71	0
1620468242.516		104688	32057	79	72179	373	104034	18	0	71	0
